"odontologia" -- "materiais dentários"
"matematica" -- "mathematics"
"high energy physics" -- "particle physics"
"violence against women" -- "gender"
"neck cancer" -- "head"
"educational technology" -- "open education"
"educational technology" -- "online education"
"educational technology" -- "blended learning"
"educational technology" -- "instructional design"
"educational technology" -- "learning design"
"educational technology" -- "mobile learning"
"web services" -- "mobile apps"
"web services" -- "cloud computing"
"applied physics" -- "materials science"
"heat transfer" -- "cfd"
"heat transfer" -- "heat pipes"
"heat transfer" -- "microchannels"
"heat transfer" -- "thermal management"
"heat transfer" -- "building energy simulation"
"pain management" -- "regional anesthesia"
"gels" -- "soft matter"
"heart failure" -- "atrial fibrillation"
"paleolithic archaeology" -- "lithic technology"
"ambiente" -- "ecologia"
"plant evolutionary biology" -- "population genetics"
"generation" -- "energy storage"
"parameterized complexity" -- "algorithms"
"economics of crime" -- "labor economics"
"palaeoecology" -- "palaeoenvironments"
"palaeoecology" -- "vertebrate palaeontology"
"wireless communications" -- "satellite communications"
"wireless communications" -- "physical layer security"
"wireless communications" -- "smart grid communications"
"wireless communications" -- "visible light communications"
"wireless communications" -- "mimo"
"wireless communications" -- "device-to-device communication"
"wireless communications" -- "5g"
"wireless communications" -- "stochastic geometry"
"wireless communications" -- "radio resource management"
"wireless communications" -- "estimation theory"
"wireless communications" -- "channel coding"
"wireless communications" -- "green communications"
"wireless communications" -- "4g"
"group processes" -- "social psychology"
"aviation" -- "satellite navigation"
"paleoseismology" -- "structural geology"
"internal combustion engines" -- "powertrain"
"t cell development" -- "immunology"
"ocean acoustics" -- "seismology"
"catalyst" -- "nanomaterials"
"immunology" -- "cancer immunotherapy"
"immunology" -- "tumor biology"
"immunology" -- "neuroimmunology"
"immunology" -- "natural killer cells"
"immunology" -- "adaptive immunity"
"immunology" -- "immunogenetics"
"immunology" -- "autoimmune diseases"
"immunology" -- "systemic lupus erythematosus"
"immunology" -- "pulmonary disease"
"immunology" -- "liver disease"
"immunology" -- "viral infection"
"immunology" -- "allergy"
"corporate strategy" -- "international business"
"reporting" -- "financial accounting"
"heat stress" -- "climate change"
"hospital epidemiology" -- "infection control"
"laser cooling" -- "atomic physics"
"biogas" -- "anaerobic digestion"
"personalised medicine" -- "cancer biology"
"succession" -- "ecosystem management"
"work" -- "gender"
"work" -- "organizational"
"work" -- "occupational"
"work" -- "organisational psychology"
"work" -- "organizational psychology"
"ética" -- "filosofía"
"co-creation" -- "open innovation"
"augmented reality" -- "computer vision"
"augmented reality" -- "spatial ability"
"industrial mathematics" -- "mathematical modeling"
"wave mechanics" -- "coastal engineering"
"teoría política" -- "ciencia política"
"storm surge" -- "coastal engineering"
"resource economics" -- "environmental economics"
"computational complexity theory" -- "algorithms"
"brain evolution" -- "evolutionary biology"
"meteorologia" -- "climatologia"
"texture analysis" -- "computer vision"
"innovation management" -- "open innovation"
"innovation management" -- "entrepreneurship"
"strategy" -- "international business"
"wearables" -- "sensors"
"hemt" -- "gan"
"informal learning" -- "mobile learning"
"school leadership" -- "education policy"
"pediatrics" -- "neonatology"
"school reform" -- "education policy"
"micronutrients" -- "nutrition"
"climate change" -- "natural disasters"
"climate change" -- "carbon emission"
"climate change" -- "global warming"
"climate change" -- "permafrost"
"climate change" -- "hydrological cycle"
"climate change" -- "global environmental politics"
"climate change" -- "downscaling"
"climate change" -- "crop modeling"
"climate change" -- "greenhouse gases"
"climate change" -- "south america"
"climate change" -- "drought"
"climate change" -- "greenhouse gas emissions"
"climate change" -- "soil carbon"
"climate change" -- "extreme events"
"climate change" -- "anthropocene"
"climate change" -- "carbon dynamics"
"climate change" -- "rural livelihoods"
"climate change" -- "enso"
"climate change" -- "tropical cyclones"
"climate change" -- "dendroclimatology"
"climate change" -- "biogeochemical cycles"
"climate change" -- "stakeholder engagement"
"climate change" -- "redd+"
"climate change" -- "earth system science"
"metagenomics" -- "bioinformatics"
"metagenomics" -- "metatranscriptomics"
"derecho" -- "ciencia política"
"synthetic biology" -- "plant molecular physiology"
"total synthesis" -- "medicinal chemistry"
"geoscience education" -- "paleontology"
"unconventional resources" -- "reservoir engineering"
"solid state" -- "materials chemistry"
"nutrition science" -- "nutrition"
"econometrics" -- "applied economics"
"econometrics" -- "time series"
"child-computer interaction" -- "human-computer interaction"
"motor drives" -- "power electronics"
"architecture" -- "urban design"
"architecture" -- "art"
"architecture" -- "comfort"
"architecture" -- "interior design"
"architecture" -- "sustainable design"
"educational measurement" -- "psychometrics"
"astrofísica" -- "física"
"environmental law" -- "planning law"
"environmental law" -- "property law"
"functional brain imaging" -- "medical imaging"
"solid electrolytes" -- "solid oxide fuel cells"
"accelerometers" -- "mems"
"ophthalmology" -- "retina"
"ophthalmology" -- "physiological optics"
"ophthalmology" -- "optometry"
"ophthalmology" -- "cornea"
"ophthalmology" -- "diabetic retinopathy"
"ophthalmology" -- "eye"
"cancer screening" -- "epidemiology"
"neurociencia" -- "bioquímica"
"molecular markers" -- "genetics"
"romantic relationships" -- "social psychology"
"infectious disease epidemiology" -- "mathematical modeling"
"early childhood education" -- "primary"
"set theory" -- "logic"
"cardiovascular pharmacology" -- "arrhythmia"
"micromagnetics" -- "spintronics"
"structural materials" -- "metallurgy"
"fracture" -- "fatigue"
"electrochemical biosensors" -- "nanomaterials"
"nlp" -- "ir"
"nlp" -- "psikoloji"
"political sociology" -- "sociology of organizations"
"health disparities" -- "vulnerable populations"
"health disparities" -- "men s health"
"health disparities" -- "community-based participatory research"
"health disparities" -- "health behavior"
"health disparities" -- "implementation research"
"health disparities" -- "latino health"
"health disparities" -- "historical trauma"
"catálise" -- "síntese orgânica"
"statistical physics" -- "complex systems"
"resting state" -- "fmri"
"plant water relations" -- "aquaporins"
"aerosol physics" -- "nanoparticles"
"recruitment" -- "selection"
"rna interference" -- "microrna"
"formal epistemology" -- "philosophy of science"
"careers" -- "gender"
"graphs" -- "algorithms"
"connectivity" -- "automated vehicles"
"connectivity" -- "fmri"
"moral psychology" -- "ethics"
"adult education" -- "lifelong learning"
"adult education" -- "adult learning"
"narcissism" -- "personality"
"evolutionary game theory" -- "evolution of cooperation"
"evolutionary game theory" -- "complex systems"
"nutrition" -- "poultry"
"nutrition" -- "childhood obesity"
"nutrition" -- "infant"
"nutrition" -- "animal science"
"nutrition" -- "exercise immunology"
"nutrition" -- "vitamins"
"nutrition" -- "hydration"
"nutrition" -- "elderly"
"nutrition" -- "epidemiology"
"nutrition" -- "extension"
"nutrition" -- "lifestyle"
"nutrition" -- "body composition"
"behavioral operations" -- "operations management"
"social learning" -- "cultural evolution"
"physical medicine" -- "rehabilitation"
"usable security" -- "privacy"
"intimate partner violence" -- "sexual assault"
"genetic counseling" -- "genetics"
"surgery" -- "bariatric"
"surgery" -- "general"
"surgery" -- "cardiac"
"family demography" -- "gender"
"geometric mechanics" -- "differential geometry"
"optical physics" -- "atomic molecular"
"data center networks" -- "cloud computing"
"semiconductor technology" -- "quantum cascade lasers"
"room acoustics" -- "acoustics"
"combinatorics on words" -- "formal languages"
"philosophy of science" -- "explanation"
"philosophy of science" -- "history of analytic philosophy"
"philosophy of science" -- "metaphysics"
"philosophy of science" -- "philosophy of biology"
"philosophy of science" -- "philosophy of economics"
"public finance" -- "labor economics"
"heterogeneity" -- "homogeneous catalysis"
"solid state physics" -- "materials science"
"aerogel" -- "materials science"
"soft matter" -- "glass transition"
"soft matter" -- "active matter"
"mechanical behavior" -- "fatigue"
"small area estimation" -- "spatial microsimulation"
"telepresence" -- "virtual reality"
"mathematics" -- "geometric function theory"
"school health" -- "adolescent health"
"gender" -- "queer"
"gender" -- "identity politics"
"gender" -- "queer theory"
"gender" -- "sex"
"gender" -- "medical sociology"
"gender" -- "labour migration"
"gender" -- "sexuality studies"
"gender" -- "politics"
"gender" -- "social anthropology"
"gender" -- "feminist theory"
"gender" -- "india"
"gender" -- "youth"
"gender" -- "culture"
"gender" -- "visual methods"
"gender" -- "globalization"
"gender" -- "qualitative methodology"
"gender" -- "body"
"gender" -- "international development"
"gender" -- "diversity"
"democratization" -- "comparative politics"
"democratization" -- "authoritarianism"
"decision making" -- "financial decision making"
"decision making" -- "risk taking"
"decision making" -- "information search"
"medical imaging" -- "computer vision"
"medical imaging" -- "musculoskeletal biomechanics"
"demographic economics" -- "labor"
"reaction mechanisms" -- "computational chemistry"
"autonomous robotics" -- "computer vision"
"metallurgy" -- "alloy design"
"metallurgy" -- "solidification"
"metallurgy" -- "materials science"
"mvpa" -- "fmri"
"ecog" -- "fmri"
"gravitational physics" -- "complex systems"
"regional anesthesia" -- "anesthesiology"
"frp" -- "concrete"
"gravity" -- "qft"
"political discourse" -- "discourse analysis"
"robótica" -- "automação"
"robótica" -- "sistemas dinâmicos"
"spatial data mining" -- "spatial databases"
"longitudinal analysis" -- "survival analysis"
"dental education" -- "medical education"
"purification" -- "protein expression"
"patient engagement" -- "juvenile justice"
"process metallurgy" -- "steelmaking"
"cold atoms" -- "quantum optics"
"environnement" -- "environment"
"human-computer interaction" -- "interface design"
"human-computer interaction" -- "eye tracking"
"human-computer interaction" -- "multimodal interaction"
"human-computer interaction" -- "end-user development"
"human-computer interaction" -- "design methods"
"human-computer interaction" -- "accessibility"
"human-computer interaction" -- "user experience design"
"human-computer interaction" -- "user experience"
"human-computer interaction" -- "mobile applications"
"human-computer interaction" -- "ubiquitous computing"
"ode" -- "pde"
"latin american studies" -- "latin american literature"
"cibercultura" -- "ciência da informação"
"public health policy" -- "epidemiology"
"driver assistance systems" -- "computer vision"
"teacher quality" -- "education policy"
"nanotechnology" -- "advanced materials"
"nanotechnology" -- "bioimaging"
"nanotechnology" -- "electronic devices"
"nanotechnology" -- "nanopore"
"nanotechnology" -- "ictas"
"nanotechnology" -- "nanoscience"
"nanotechnology" -- "gas sensors"
"nanotechnology" -- "mems"
